w,a,b
уши,мн.ч. на ухо,"второ/трето лице, минало време на ушия"
гол,без дрехи,отбелязване на точка във футбол или хокей
син,цвят,мъжка рожба
коса,косми на главата,земеделско сечиво за косене
вила,къща за почивка,земеделско сечиво за събиране на сено
лира,музикален инструмент,парична единица
пръст,част от ръката,почва
съд,съдина,правораздаваща институция 
вие,"лично местоимение второ лице, мн.ч","трето лице, сегашно време на вия"
град,населено място,градушка
брак,,
лига,,
маса,,
мина,,
пика,,
ток,,
гребен,,
бал,,
